Inv. Date,Area,Customer,Customer Name,Comp,Branch,STYP,Order No,  Item,DLV. No,  Item,Bill Typ,Invoice No,  Item,Mat.Gr,Parts No,Description,Q'ty,BUn,  Sales Amount,        Tax,Faktur Pajak No.
09.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149095,10,796510058,10,ZFBH,56317919,1,8R3,VA32G6100010B,# INJECTOR ASSY,4,PC,"16,880,000","1,856,800",010.002-23.87620810
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,10,796511056,10,ZFBH,56318063,1,8R1,VA3436204100J1M," FILTER, FUEL",20,PC,"3,874,000","426,140",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,20,796511057,10,ZFBH,56318063,2,8R1,VA32G6200100J1M," ELEMENT, FUEL",20,PC,"2,262,000","248,820",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,30,796511058,10,ZFBH,56318063,3,8R1,YN21P01068R100J1J,"FILTER,FUEL",20,PC,"2,314,000","254,540",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,40,796511059,10,ZFBH,56318063,4,8R1,VA32G4001100J1M," FILTER, OIL",20,PC,"2,184,000","240,240",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,50,796511060,10,ZFBH,56318063,5,8R1,YN52V01025R100,REPAIR KIT,7,PC,"6,001,450","660,160",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,60,796511061,10,ZFBH,56318063,6,8R1,YY11P00008S002D,"# ELEMENT,FILTER",7,PC,"1,456,000","160,160",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,70,796511062,10,ZFBH,56318063,7,8R1,YY11P00008S003D,"# ELEMENT,FILTER",7,PC,"2,265,900","249,249",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,80,796511063,10,ZFBH,56318063,8,8R1,YN57V00012S002,"ELEMENT, FILTER",7,PC,"2,993,900","329,329",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,120,796511064,10,ZFBH,56318063,9,8R1,LQ50V01007P1,FILTER,7,PC,"3,303,300","363,363",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,130,796511065,10,ZFBH,56318063,10,8R1,LQ50V01009P1,FILTER,7,PC,"1,697,150","186,687",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,90,796511066,10,ZFBH,56318063,11,8RB,DKL-EOILDH1-I22,OIL ENGINE DH1 15W40 (PAIL-22),15,PC,"9,750,000","1,072,500",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,100,796511067,10,ZFBH,56318063,12,8RB,DKL-HOIL68-I20,OIL HYD 68LL (PAIL),50,PC,"27,400,000","3,013,999",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,110,796511068,10,ZFBH,56318063,13,8RB,DKL-GOIL-90-I5,OIL GEAR 90 (PAIL 5 LITERS),18,PC,"4,050,000","445,500",010.002-23.87620975
10.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149555,140,796511069,10,ZFBH,56318063,14,8R1,YN50V00016F1,"FILTER, INLINE",5,PC,"4,810,000","529,100",010.002-23.87620975
11.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149635,10,796511566,10,ZFBH,56318219,1,8R2,YN32T00067F1,"PARTS KIT, SPARE",1,PC,"7,117,000","782,870",010.002-23.87621166
11.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149805,10,796512098,10,ZFBH,56318220,1,8R2,YN32T00067F1,"PARTS KIT, SPARE",1,PC,"7,117,000","782,870",010.002-23.87621167
13.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150291,40,796514075,10,ZFBH,56318556,1,8R2,YM30P01008S001,RUBBER,1,PC,"2,886,000","317,460",010.002-23.87621573
13.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150291,100,796514076,10,ZFBH,56318556,2,8R3,VA9223331600,BOLT,6,PC,"429,000","47,190",010.002-23.87621573
13.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150291,10,796514077,10,ZFBH,56318556,3,8R1,VA32G4001100J1M," FILTER, OIL",1,PC,"109,200","12,012",010.002-23.87621573
13.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150291,20,796514078,10,ZFBH,56318556,4,8RB,DKL-EOILDH1-S5,OIL ENGINE DH1 15W40 5LTR,1,PC,"177,000","19,470",010.002-23.87621573
13.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150291,50,796514079,10,ZFBH,56318556,5,8R1,VA32G6200100J1M," ELEMENT, FUEL",1,PC,"113,100","12,441",010.002-23.87621573
13.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150291,60,796514080,10,ZFBH,56318556,6,8R1,VA3436204100J1M," FILTER, FUEL",1,PC,"193,700","21,307",010.002-23.87621573
13.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150291,70,796514081,10,ZFBH,56318556,7,8R1,YN21P01068R100J1J,"FILTER,FUEL",1,PC,"115,700","12,727",010.002-23.87621573
13.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150291,80,796514082,10,ZFBH,56318556,8,8R1,YY11P00008S002D,"# ELEMENT,FILTER",1,PC,"208,000","22,880",010.002-23.87621573
13.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150291,90,796514083,10,ZFBH,56318556,9,8R1,YY11P00008S003D,"# ELEMENT,FILTER",1,PC,"323,700","35,607",010.002-23.87621573
13.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150291,30,796514084,10,ZFBH,56318556,10,8RB,DKL-EOILDH1-I22,OIL ENGINE DH1 15W40 (PAIL-22),1,PC,"650,000","71,500",010.002-23.87621573
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150490,10,796515525,10,ZFBH,56318758,1,8R9,YN52S00103P1,"SENSOR, PRESS",1,PC,"926,000","101,860",010.002-23.87621842
16.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901150644,10,796516113,10,ZFBH,56318759,1,8R1,VHS156072190J1M," FILTER, OIL",1,PC,"115,700","12,727",010.002-23.87621843
